return me the homepage of PVLDB . ||| select journal_0.homepage from journal as journal_0 where journal_0.name = " PVLDB " 
return me the number of papers in VLDB after 2000 in " University of Michigan " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, journal as journal_0, organization as organization_0, publication as publication_0, writes as writes_0 where journal_0.name = " VLDB " and organization_0.name = " University of Michigan " and publication_0.year > 2000 and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the number of papers in PVLDB after 2000 in " University of Michigan " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, journal as journal_0, organization as organization_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and organization_0.name = " University of Michigan " and publication_0.year > 2000 and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the total citations of the papers in " University of Michigan " . ||| select sum ( publication_0.citation_num ) from author as author_0, organization as organization_0, publication as publication_0, writes as writes_0 where organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and publication_0.pid = writes_0.pid
return me the number of researchers in " University of Michigan " . ||| select count ( distinct ( author_0.name )  ) from author as author_0, organization as organization_0 where organization_0.name = " University of Michigan " and author_0.oid = organization_0.oid
return me the number of researchers in Databases area in " University of Michigan " . ||| select count ( distinct ( author_0.name )  ) from author as author_0, domain as domain_0, domain_author as domain_author_0, organization as organization_0 where domain_0.name = " Databases " and organization_0.name = " University of Michigan " and author_0.aid = domain_author_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did
return me the number of authors who have papers in PVLDB . ||| select count ( distinct ( author_0.name )  ) from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the number of authors who have papers in the VLDB conference . ||| select count ( distinct ( author_0.name )  ) from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the number of papers published on PVLDB before 2000 . ||| select count ( distinct ( publication_0.title )  ) from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and publication_0.year < 2000 and journal_0.jid = publication_0.jid
return me the number of papers published in the VLDB conference before 2000 . ||| select count ( distinct ( publication_0.title )  ) from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and publication_0.year < 2000 and conference_0.cid = publication_0.cid
return me the total citations of all the papers in PVLDB . ||| select sum ( publication_0.citation_num ) from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid
return me the citations of each paper in PVLDB . ||| select publication_0.citation_num from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid |select sum ( publication_0.citation_num ) , publication_0.title from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid group by publication_0.title
return me the total citations of papers in PVLDB in 2005 . ||| select sum ( publication_0.citation_num ) from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and publication_0.year = 2005 and journal_0.jid = publication_0.jid
return me the total citations of papers in PVLDB before 2005 . ||| select sum ( publication_0.citation_num ) from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and publication_0.year < 2005 and journal_0.jid = publication_0.jid
return me the total citations of papers in PVLDB in each year . ||| select sum ( publication_0.citation_num ) , publication_0.year from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid group by publication_0.year
return me the number of papers published in PVLDB in each year . ||| select publication_0.year, count ( distinct ( publication_0.title )  ) from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid group by publication_0.year
return me the total citations of all the papers in the VLDB conference . ||| select sum ( publication_0.citation_num ) from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid
return me the citations of each paper in the VLDB conference . ||| select publication_0.citation_num from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid |select publication_0.title, sum ( publication_0.citation_num ) from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid group by publication_0.title
return me the total citations of papers in the VLDB conference in 2005 . ||| select sum ( publication_0.citation_num ) from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and publication_0.year = 2005 and conference_0.cid = publication_0.cid
return me the total citations of papers in the VLDB conference before 2005 . ||| select sum ( publication_0.citation_num ) from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and publication_0.year < 2005 and conference_0.cid = publication_0.cid
return me the total citations of papers in the VLDB conference in each year . ||| select publication_0.year, sum ( publication_0.citation_num ) from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid group by publication_0.year
return me the number of papers published in the VLDB conference in each year . ||| select publication_0.year, count ( distinct ( publication_0.title )  ) from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid group by publication_0.year
return me the authors who have cooperated both with " H. V. Jagadish " and " Divesh Srivastava " . ||| select author_0.name from author as author_0, author as author_1, author as author_2, publication as publication_0, writes as writes_0, writes as writes_1, writes as writes_2 where author_1.name = " H. V. Jagadish " and author_2.name = " Divesh Srivastava " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and author_2.aid = writes_2.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid and publication_0.pid = writes_2.pid
return me the authors who have cooperated with " H. V. Jagadish " or " Divesh Srivastava " . ||| select author_0.name from author as author_0, author as author_1, organization as organization_0, organization as organization_1 where ( author_1.name = " H. V. Jagadish " or author_1.name = " Divesh Srivastava " ) and author_0.oid = organization_0.oid and author_1.oid = organization_0.oid
return me the authors who have cooperated with " H. V. Jagadish " after 2000 . ||| select author_0.name from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_1.name = " H. V. Jagadish " and publication_0.year > 2000 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid|select author_1.name from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and publication_0.year > 2000 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the papers written by " H. V. Jagadish " and " Divesh Srivastava " . ||| select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " Divesh Srivastava " and author_1.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid|select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and author_1.name = " Divesh Srivastava " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the papers written by " H. V. Jagadish " and " Yunyao Li " after 2005 . ||| select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " Yunyao Li " and author_1.name = " H. V. Jagadish " and publication_0.year > 2005 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid|select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and author_1.name = " Yunyao Li " and publication_0.year > 2005 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the papers written by " H. V. Jagadish " and " Yunyao Li " on PVLDB . ||| select publication_0.title from author as author_0, author as author_1, journal as journal_0, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " Yunyao Li " and author_1.name = " H. V. Jagadish " and journal_0.name = " PVLDB " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid|select publication_0.title from author as author_0, author as author_1, journal as journal_0, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and author_1.name = " Yunyao Li " and journal_0.name = " PVLDB " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the papers written by " H. V. Jagadish " and " Yunyao Li " on PVLDB after 2005 . ||| select publication_0.title from author as author_0, author as author_1, journal as journal_0, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " Yunyao Li " and author_1.name = " H. V. Jagadish " and journal_0.name = " PVLDB " and publication_0.year > 2005 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid|select publication_0.title from author as author_0, author as author_1, journal as journal_0, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and author_1.name = " Yunyao Li " and journal_0.name = " PVLDB " and publication_0.year > 2005 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the authors who have cooperated with " H. V. Jagadish " . ||| select author_0.name from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_1.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the papers written by " H. V. Jagadish " and " Divesh Srivastava " before 2000 . ||| select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " Divesh Srivastava " and author_1.name = " H. V. Jagadish " and publication_0.year < 2000 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid|select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and author_1.name = " Divesh Srivastava " and publication_0.year < 2000 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the authors who have cited the papers by " H. V. Jagadish " . ||| select author_0.name from author as author_0, author as author_1, cite as cite_0, publication as publication_0, publication as publication_1, writes as writes_0, writes as writes_1 where author_1.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and cite_0.cited = publication_1.pid and cite_0.citing = publication_0.pid and publication_0.pid = writes_0.pid and publication_1.pid = writes_1.pid
return me the number of papers written by " H. V. Jagadish " and " Divesh Srivastava " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " Divesh Srivastava " and author_1.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid|select count ( distinct ( publication_0.title )  ) from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and author_1.name = " Divesh Srivastava " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the number of papers written by " H. V. Jagadish " and " Divesh Srivastava " before 2000 . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " Divesh Srivastava " and author_1.name = " H. V. Jagadish " and publication_0.year < 2000 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid|select count ( distinct ( publication_0.title )  ) from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and author_1.name = " Divesh Srivastava " and publication_0.year < 2000 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the number of papers written by " H. V. Jagadish " , " Yunyao Li " , and " Cong Yu " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, author as author_1, author as author_2, publication as publication_0, writes as writes_0, writes as writes_1, writes as writes_2 where author_0.name = " H. V. Jagadish " and author_1.name = " Yunyao Li " and author_2.name = " Cong Yu " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and author_2.aid = writes_2.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid and publication_0.pid = writes_2.pid|select count ( distinct ( publication_0.title )  ) from author as author_0, author as author_1, author as author_2, publication as publication_0, writes as writes_0, writes as writes_1, writes as writes_2 where author_0.name = " Yunyao Li " and author_1.name = " Cong Yu " and author_2.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and author_2.aid = writes_2.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid and publication_0.pid = writes_2.pid|select count ( distinct ( publication_0.title )  ) from author as author_0, author as author_1, author as author_2, publication as publication_0, writes as writes_0, writes as writes_1, writes as writes_2 where author_0.name = " Cong Yu " and author_1.name = " H. V. Jagadish " and author_2.name = " Yunyao Li " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and author_2.aid = writes_2.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid and publication_0.pid = writes_2.pid
return me the number of authors who have cooperated with " H. V. Jagadish " . ||| select count ( distinct ( author_0.name )  ) from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_1.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the number of authors who have cited the papers by " H. V. Jagadish " . ||| select count ( distinct ( author_0.name )  ) from author as author_0, author as author_1, cite as cite_0, publication as publication_0, publication as publication_1, writes as writes_0, writes as writes_1 where author_1.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and cite_0.cited = publication_1.pid and cite_0.citing = publication_0.pid and publication_0.pid = writes_0.pid and publication_1.pid = writes_1.pid
return me the papers written by " H. V. Jagadish " and " Divesh Srivastava " with more than 200 citations . ||| select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " Divesh Srivastava " and author_1.name = " H. V. Jagadish " and publication_0.citation_num > 200 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid|select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and author_1.name = " Divesh Srivastava " and publication_0.citation_num > 200 and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid
return me the author who has the most number of papers containing keyword " Relational Database " . ||| select author_0.name from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where keyword_0.keyword = " Relational Database " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid group by author_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the conference that has the most number of papers containing keyword " Relational Database " . ||| select conference_0.name from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by conference_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the journal that has the most number of papers containing keyword " Relational Database " . ||| select journal_0.name from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by journal_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the number of authors who have more than 10 papers containing keyword " Relational Database " . ||| select count ( * ) from ( select author_0.name from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where keyword_0.keyword = " Relational Database " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid group by author_0.name having count ( distinct ( publication_0.title )  ) > 10 ) as subquery
return me the number of the conferences, which have more than 60 papers containing keyword " Relational Database " . ||| select count ( * ) from ( select conference_0.name from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by conference_0.name having count ( distinct ( publication_0.title )  ) > 60 ) as subquery
return me the number of the journals, which have more than 60 papers containing keyword " Relational Database " . ||| select count ( * ) from ( select journal_0.name from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by journal_0.name having count ( distinct ( publication_0.title )  ) > 60 ) as subquery
return me the number of the authors who have more than 10 papers containing keyword " Relational Database " . ||| select count ( * ) from ( select author_0.name from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where keyword_0.keyword = " Relational Database " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid group by author_0.name having count ( distinct ( publication_0.title )  ) > 10 ) as subquery
return me the number of conferences, which have more than 60 papers containing keyword " Relational Database " . ||| select count ( * ) from ( select conference_0.name from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by conference_0.name having count ( distinct ( publication_0.title )  ) > 60 ) as subquery
return me the number of journals, which have more than 60 papers containing keyword " Relational Database " . ||| select count ( * ) from ( select journal_0.name from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by journal_0.name having count ( distinct ( publication_0.title )  ) > 60 ) as subquery
return me the number of keywords, which have been contained by more than 100 papers in VLDB conference . ||| select count ( * ) from ( select keyword_0.keyword from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by keyword_0.keyword having count ( distinct ( publication_0.title )  ) > 100 ) as subquery
return me the number of keywords, which have been contained by more than 100 papers in PVLDB . ||| select count ( * ) from ( select keyword_0.keyword from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by keyword_0.keyword having count ( distinct ( publication_0.title )  ) > 100 ) as subquery
return me the number of keywords, which have been contained by more than 10 papers of " H. V. Jagadish " . ||| select count ( * ) from ( select keyword_0.keyword from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid group by keyword_0.keyword having count ( distinct ( publication_0.title )  ) > 10 ) as subquery
return me the keyword, which have been contained by the most number of papers in VLDB conference . ||| select keyword_0.keyword from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by keyword_0.keyword order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the keyword, which have been contained by the most number of papers in PVLDB . ||| select keyword_0.keyword from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by keyword_0.keyword order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the keyword, which have been contained by the most number of papers by " H. V. Jagadish " . ||| select keyword_0.keyword from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid group by keyword_0.keyword order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the journal, which has the most number of papers containing keyword " Relational Database " . ||| select journal_0.name from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by journal_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the conference, which has the most number of papers containing keyword " Relational Database " . ||| select conference_0.name from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Relational Database " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid group by conference_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the author who has the most number of papers containing keyword " Relational Database " . ||| select author_0.name from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where keyword_0.keyword = " Relational Database " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid group by author_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the author in the " University of Michigan " whose papers have the most total citations . ||| select author_0.name from author as author_0, organization as organization_0, publication as publication_0, writes as writes_0 where organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and publication_0.pid = writes_0.pid group by author_0.name order by sum ( publication_0.citation_num ) desc limit 1
return me the author in the " University of Michigan " whose papers in Databases area have the most total citations . ||| select author_0.name from author as author_0, domain as domain_0, domain_publication as domain_publication_0, organization as organization_0, publication as publication_0, writes as writes_0 where domain_0.name = " Databases " and organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_publication_0.did and domain_publication_0.pid = publication_0.pid and publication_0.pid = writes_0.pid group by author_0.name order by sum ( publication_0.citation_num ) desc limit 1
return me the papers written by " H. V. Jagadish " and " Divesh Srivastava " with the most number of citations . ||| select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " H. V. Jagadish " and author_1.name = " Divesh Srivastava " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid order by publication_0.citation_num desc limit 1|select publication_0.title from author as author_0, author as author_1, publication as publication_0, writes as writes_0, writes as writes_1 where author_0.name = " Divesh Srivastava " and author_1.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and author_1.aid = writes_1.aid and publication_0.pid = writes_0.pid and publication_0.pid = writes_1.pid order by publication_0.citation_num desc limit 1
return me the conferences, which have more than 10 papers by " H. V. Jagadish " . ||| select conference_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid group by conference_0.name having count ( distinct ( publication_0.title )  ) > 10
return me the conference, which have the most number of papers by " H. V. Jagadish " . ||| select conference_0.name from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid group by conference_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the journals, which have more than 10 papers by " H. V. Jagadish " . ||| select journal_0.name from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid group by journal_0.name having count ( distinct ( publication_0.title )  ) > 10
return me the journal, which have the most number of papers by " H. V. Jagadish " . ||| select journal_0.name from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid group by journal_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
return me the paper with the most citations . ||| select publication_0.title from publication as publication_0 order by publication_0.citation_num desc limit 1
return me the paper in Databases area with the most citations . ||| select publication_0.title from domain as domain_0, domain_publication as domain_publication_0, publication as publication_0 where domain_0.name = " Databases " and domain_0.did = domain_publication_0.did and domain_publication_0.pid = publication_0.pid order by publication_0.citation_num desc limit 1
return me the paper in PVLDB with the most citations . ||| select publication_0.title from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid order by publication_0.citation_num desc limit 1
return me the paper in VLDB conference with the most citations . ||| select publication_0.title from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid order by publication_0.citation_num desc limit 1
return me the paper by " H. V. Jagadish " with the most citations . ||| select publication_0.title from author as author_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and publication_0.pid = writes_0.pid order by publication_0.citation_num desc limit 1
return me the paper after 2000 with the most citations . ||| select publication_0.title from publication as publication_0 where publication_0.year > 2000 order by publication_0.citation_num desc limit 1
return me the paper after 2000 in Databases area with the most citations . ||| select publication_0.title from domain as domain_0, domain_publication as domain_publication_0, publication as publication_0 where domain_0.name = " Databases " and publication_0.year > 2000 and domain_0.did = domain_publication_0.did and domain_publication_0.pid = publication_0.pid order by publication_0.citation_num desc limit 1
return me the paper after 2000 in PVLDB with the most citations . ||| select publication_0.title from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and publication_0.year > 2000 and journal_0.jid = publication_0.jid order by publication_0.citation_num desc limit 1
return me the paper after 2000 in VLDB conference with the most citations . ||| select publication_0.title from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and publication_0.year > 2000 and conference_0.cid = publication_0.cid order by publication_0.citation_num desc limit 1
return me the authors who have more than 10 papers in PVLDB . ||| select author_0.name from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid group by author_0.name having count ( distinct ( publication_0.title )  ) > 10
return me the authors who have the most number of papers in PVLDB . ||| select author_0.name from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid group by author_0.name order by count ( distinct ( publication_0.title )  ) desc limit 1
